id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
1,Counter-Strike: Global Offensive,21-08-2012,Valve;Hidden Path Entertainment,Valve,Action;Free to Play,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Free to play,88%,1,1,1
2,Dota 2,09-07-2013,Valve,Valve,Action;Free to Play;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to play,82%,1,1,1
3,Dead by Daylight,14-06-2016,Behaviour Digital Inc.,Behaviour Digital Inc.,Action,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,749,81%,1,0,0
4,Warframe,25-03-2013,Digital Extremes,Digital Extremes,Action;Free to Play,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,87%,1,0,0
5,War Thunder,15-08-2013,Gaijin Entertainment,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support,Free to play,48%,1,1,1
6,Grand Theft Auto V,13-04-2015,Rockstar North,Rockstar Games,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support,Free to play,78%,1,0,0
7,The Elder Scrolls® Online,22-05-2017,Zenimax Online Studios,Bethesda Softworks,Massively Multiplayer;RPG,MMO;Steam Trading Cards;Partial Controller Support,"1,599",91%,1,1,0
8,RimWorld,17-10-2018,Ludeon Studios,Ludeon Studios,Indie;Simulation;Strategy,Single-player;Steam Workshop;Steam Cloud,"1,099",83%,1,1,1
9,Rust,08-02-2018,Facepunch Studios,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,"1,799",98%,1,1,0
10,Euro Truck Simulator 2,12-10-2012,SCS Software,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,69%,1,1,1
